edge_id,network_id,context_id,spec_id,from,to,edge_a,edge_b,weight,abs_weight,from_domain,to_domain,from_role,to_role,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot,edge_instance_id,from_node_instance_id,to_node_instance_id
net_g05_w55_low__AFF_WORRY__SEVERITY,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_WORRY,SEVERITY,AFF_WORRY,SEVERITY,0.0823438191047631,0.0823438191047631,affect,belief,non_focal,focal_belief,0.0823438191047631,0.0825345599050736,0.0567506961339774,0.0,0.2012810029009173,0.893,1000.0,net_g05_w55_low__AFF_WORRY__SEVERITY,net_g05_w55_low__AFF_WORRY,net_g05_w55_low__SEVERITY
net_g05_w55_low__AFF_WORRY__USE2_SPACE150,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_WORRY,USE2_SPACE150,AFF_WORRY,USE2_SPACE150,0.0705413622572092,0.0705413622572092,affect,behavior,non_focal,non_focal,0.0705413622572091,0.0623990392518624,0.0372052485326534,0.0,0.1395770563511614,0.935,1000.0,net_g05_w55_low__AFF_WORRY__USE2_SPACE150,net_g05_w55_low__AFF_WORRY,net_g05_w55_low__USE2_SPACE150
net_g05_w55_low__AFF_WORRY__USE2_AVOID,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_WORRY,USE2_AVOID,AFF_WORRY,USE2_AVOID,0.0624861121290443,0.0624861121290443,affect,behavior,non_focal,non_focal,0.0624861121290443,0.0610898238193975,0.0439385683438349,0.0,0.1487146012349761,0.865,1000.0,net_g05_w55_low__AFF_WORRY__USE2_AVOID,net_g05_w55_low__AFF_WORRY,net_g05_w55_low__USE2_AVOID
net_g05_w55_low__USE2_AVOID__WORRY_HEALTH_SYSTEM,net_g05_w55_low,ctx_w55_low,gamma_05,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.031643810010475,0.031643810010475,behavior,affect,non_focal,non_focal,0.0316438100104749,0.0362252108057077,0.0388436269602755,0.0,0.1239944066592914,0.678,1000.0,net_g05_w55_low__USE2_AVOID__WORRY_HEALTH_SYSTEM,net_g05_w55_low__USE2_AVOID,net_g05_w55_low__WORRY_HEALTH_SYSTEM
net_g05_w55_low__SEVERITY__USE2_MASK,net_g05_w55_low,ctx_w55_low,gamma_05,SEVERITY,USE2_MASK,SEVERITY,USE2_MASK,0.0173270098917509,0.0173270098917509,belief,behavior,focal_belief,non_focal,0.0173270098917508,0.0197409270065476,0.0306351355401387,0.0,0.0963030230824838,0.519,1000.0,net_g05_w55_low__SEVERITY__USE2_MASK,net_g05_w55_low__SEVERITY,net_g05_w55_low__USE2_MASK
net_g05_w55_low__AFF_WORRY__USE2_MASK,net_g05_w55_low,ctx_w55_low,gamma_05,AFF_WORRY,USE2_MASK,AFF_WORRY,USE2_MASK,0.0155628239941265,0.0155628239941265,affect,behavior,non_focal,non_focal,0.0155628239941265,0.0227561209482099,0.0278146438541074,0.0,0.0910241637263111,0.608,1000.0,net_g05_w55_low__AFF_WORRY__USE2_MASK,net_g05_w55_low__AFF_WORRY,net_g05_w55_low__USE2_MASK
net_g05_w55_low__SEVERITY__USE2_AVOID,net_g05_w55_low,ctx_w55_low,gamma_05,SEVERITY,USE2_AVOID,SEVERITY,USE2_AVOID,0.0149954739223753,0.0149954739223753,belief,behavior,focal_belief,non_focal,0.0149954739223752,0.0198098300881871,0.0310339335851787,0.0,0.1017137583224264,0.503,1000.0,net_g05_w55_low__SEVERITY__USE2_AVOID,net_g05_w55_low__SEVERITY,net_g05_w55_low__USE2_AVOID
net_g05_w55_low__SEVERITY__USE2_SPACE150,net_g05_w55_low,ctx_w55_low,gamma_05,SEVERITY,USE2_SPACE150,SEVERITY,USE2_SPACE150,0.0136813275947072,0.0136813275947072,belief,behavior,focal_belief,non_focal,0.0136813275947072,0.0167128313297906,0.0264317674897914,0.0,0.0858897591601186,0.473,1000.0,net_g05_w55_low__SEVERITY__USE2_SPACE150,net_g05_w55_low__SEVERITY,net_g05_w55_low__USE2_SPACE150
net_g05_w55_low__SEVERITY__USE2_HANDWASH20,net_g05_w55_low,ctx_w55_low,gamma_05,SEVERITY,USE2_HANDWASH20,SEVERITY,USE2_HANDWASH20,0.0046308706800259,0.0046308706800259,belief,behavior,focal_belief,non_focal,0.0046308706800259,0.0204230154136405,0.0311761933810225,0.0,0.1012050693349709,0.487,1000.0,net_g05_w55_low__SEVERITY__USE2_HANDWASH20,net_g05_w55_low__SEVERITY,net_g05_w55_low__USE2_HANDWASH20
net_g05_w56_high__AFF_FEAR__AFF_WORRY,net_g05_w56_high,ctx_w56_high,gamma_05,AFF_FEAR,AFF_WORRY,AFF_FEAR,AFF_WORRY,0.531144423692983,0.531144423692983,affect,affect,non_focal,non_focal,0.5311444236929834,0.5273308528113584,0.0461992337185382,0.4364732703253379,0.6201798938042724,1.0,1000.0,net_g05_w56_high__AFF_FEAR__AFF_WORRY,net_g05_w56_high__AFF_FEAR,net_g05_w56_high__AFF_WORRY
