wave,trust_stratum,spec,thresholded,n_cc,from,to,edge_key,weight,abs_weight,from_domain,to_domain,from_role,to_role,is_focal_edge,is_affect_affect,is_behavior_behavior,is_belief_affect,is_belief_behavior,is_affect_behavior,kind,neighbor,neighbor_domain,focal_rank_within_context
56,low,g05_thr,True,383,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.254913023999908,0.254913023999908,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,1
56,low,g05_thr,True,383,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.22413224239124,0.22413224239124,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,2
56,low,g05_thr,True,383,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.153446108833217,0.153446108833217,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,3
56,low,g05_thr,True,383,SEVERITY,WORRY_HEALTH_SYSTEM,SEVERITY -- WORRY_HEALTH_SYSTEM,0.0,0.0,belief,affect,focal_belief,non_focal,True,False,False,True,False,False,edges,WORRY_HEALTH_SYSTEM,affect,4
56,low,g05_thr,True,383,SEVERITY,USE2_MASK,SEVERITY -- USE2_MASK,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_MASK,behavior,5
56,low,g05_thr,True,383,SEVERITY,USE2_SPACE150,SEVERITY -- USE2_SPACE150,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_SPACE150,behavior,6
56,low,g05_thr,True,383,SEVERITY,USE2_HANDWASH20,SEVERITY -- USE2_HANDWASH20,0.0,0.0,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_HANDWASH20,behavior,7
56,low,g075,False,383,AFF_WORRY,SEVERITY,AFF_WORRY -- SEVERITY,0.25053034016802,0.25053034016802,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_WORRY,affect,1
56,low,g075,False,383,AFF_FEAR,SEVERITY,AFF_FEAR -- SEVERITY,0.222716478047016,0.222716478047016,affect,belief,non_focal,focal_belief,True,False,False,True,False,False,edges,AFF_FEAR,affect,2
56,low,g075,False,383,SEVERITY,USE2_AVOID,SEVERITY -- USE2_AVOID,0.14666766730118,0.14666766730118,belief,behavior,focal_belief,non_focal,True,False,False,False,True,False,edges,USE2_AVOID,behavior,3
