wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role
57,low,336,g05,AFF_FEAR,USE2_MASK,-0.0173779072867365,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,AFF_FEAR,USE2_MASK,net_g05_w57_low__AFF_FEAR__USE2_MASK,0.0173779072867365,affect,behavior,non_focal,non_focal
57,low,336,g05,AFF_WORRY,USE2_HANDWASH20,0.0162213900096129,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,AFF_WORRY,USE2_HANDWASH20,net_g05_w57_low__AFF_WORRY__USE2_HANDWASH20,0.0162213900096129,affect,behavior,non_focal,non_focal
57,low,336,g05,AFF_WORRY,USE2_AVOID,0.0110123122934447,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,AFF_WORRY,USE2_AVOID,net_g05_w57_low__AFF_WORRY__USE2_AVOID,0.0110123122934447,affect,behavior,non_focal,non_focal
57,low,336,g05,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.0095866474134661,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w57_low,net_g05_w57_low,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,net_g05_w57_low__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,0.0095866474134661,behavior,affect,non_focal,non_focal
55,high,309,g05_spearman,SEVERITY,USE2_SPACE150,0.118697357515695,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,SEVERITY,USE2_SPACE150,net_g05_spearman_w55_high__SEVERITY__USE2_SPACE150,0.118697357515695,belief,behavior,focal_belief,non_focal
55,high,309,g05_spearman,SEVERITY,USE2_AVOID,0.105482277829134,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,SEVERITY,USE2_AVOID,net_g05_spearman_w55_high__SEVERITY__USE2_AVOID,0.105482277829134,belief,behavior,focal_belief,non_focal
55,high,309,g05_spearman,USE2_SPACE150,WORRY_HEALTH_SYSTEM,0.0669984904545466,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_SPACE150,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_high__USE2_SPACE150__WORRY_HEALTH_SYSTEM,0.0669984904545466,behavior,affect,non_focal,non_focal
55,high,309,g05_spearman,AFF_WORRY,USE2_AVOID,0.0637624711943333,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_WORRY,USE2_AVOID,net_g05_spearman_w55_high__AFF_WORRY__USE2_AVOID,0.0637624711943333,affect,behavior,non_focal,non_focal
55,high,309,g05_spearman,AFF_FEAR,USE2_AVOID,0.0535904028268263,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_FEAR,USE2_AVOID,net_g05_spearman_w55_high__AFF_FEAR__USE2_AVOID,0.0535904028268263,affect,behavior,non_focal,non_focal
55,high,309,g05_spearman,AFF_WORRY,USE2_HANDWASH20,0.040280339294695,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_WORRY,USE2_HANDWASH20,net_g05_spearman_w55_high__AFF_WORRY__USE2_HANDWASH20,0.040280339294695,affect,behavior,non_focal,non_focal
55,high,309,g05_spearman,SEVERITY,USE2_HANDWASH20,0.0374502017319742,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,SEVERITY,USE2_HANDWASH20,net_g05_spearman_w55_high__SEVERITY__USE2_HANDWASH20,0.0374502017319742,belief,behavior,focal_belief,non_focal
55,high,309,g05_spearman,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.0351019968703639,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.0351019968703639,behavior,affect,non_focal,non_focal
55,high,309,g05_spearman,AFF_FEAR,USE2_MASK,0.0292260816499025,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,AFF_FEAR,USE2_MASK,net_g05_spearman_w55_high__AFF_FEAR__USE2_MASK,0.0292260816499025,affect,behavior,non_focal,non_focal
55,high,309,g05_spearman,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.0276556639643481,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_high__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,0.0276556639643481,behavior,affect,non_focal,non_focal
55,high,309,g05_spearman,USE2_MASK,WORRY_HEALTH_SYSTEM,0.0274058972324329,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_high,net_g05_spearman_w55_high,USE2_MASK,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_high__USE2_MASK__WORRY_HEALTH_SYSTEM,0.0274058972324329,behavior,affect,non_focal,non_focal
55,low,376,g05_spearman,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.185921192606969,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_low__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,0.185921192606969,behavior,affect,non_focal,non_focal
55,low,376,g05_spearman,USE2_MASK,WORRY_HEALTH_SYSTEM,0.155710771803926,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,USE2_MASK,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_low__USE2_MASK__WORRY_HEALTH_SYSTEM,0.155710771803926,behavior,affect,non_focal,non_focal
55,low,376,g05_spearman,AFF_FEAR,USE2_AVOID,0.130623556212654,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,AFF_FEAR,USE2_AVOID,net_g05_spearman_w55_low__AFF_FEAR__USE2_AVOID,0.130623556212654,affect,behavior,non_focal,non_focal
55,low,376,g05_spearman,AFF_WORRY,USE2_SPACE150,0.0713666628548888,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,AFF_WORRY,USE2_SPACE150,net_g05_spearman_w55_low__AFF_WORRY__USE2_SPACE150,0.0713666628548888,affect,behavior,non_focal,non_focal
55,low,376,g05_spearman,AFF_WORRY,USE2_AVOID,0.0591581764774365,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,AFF_WORRY,USE2_AVOID,net_g05_spearman_w55_low__AFF_WORRY__USE2_AVOID,0.0591581764774365,affect,behavior,non_focal,non_focal
55,low,376,g05_spearman,AFF_FEAR,USE2_HANDWASH20,-0.058797970276521803,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,AFF_FEAR,USE2_HANDWASH20,net_g05_spearman_w55_low__AFF_FEAR__USE2_HANDWASH20,0.058797970276521803,affect,behavior,non_focal,non_focal
55,low,376,g05_spearman,SEVERITY,USE2_HANDWASH20,0.0313524413513409,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,SEVERITY,USE2_HANDWASH20,net_g05_spearman_w55_low__SEVERITY__USE2_HANDWASH20,0.0313524413513409,belief,behavior,focal_belief,non_focal
55,low,376,g05_spearman,AFF_WORRY,USE2_MASK,0.0213139808005594,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,AFF_WORRY,USE2_MASK,net_g05_spearman_w55_low__AFF_WORRY__USE2_MASK,0.0213139808005594,affect,behavior,non_focal,non_focal
55,low,376,g05_spearman,SEVERITY,USE2_SPACE150,0.0147679451240536,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,SEVERITY,USE2_SPACE150,net_g05_spearman_w55_low__SEVERITY__USE2_SPACE150,0.0147679451240536,belief,behavior,focal_belief,non_focal
55,low,376,g05_spearman,SEVERITY,USE2_AVOID,0.0119719834614411,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,SEVERITY,USE2_AVOID,net_g05_spearman_w55_low__SEVERITY__USE2_AVOID,0.0119719834614411,belief,behavior,focal_belief,non_focal
55,low,376,g05_spearman,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.00933194845309085,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w55_low,net_g05_spearman_w55_low,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_spearman_w55_low__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.00933194845309085,behavior,affect,non_focal,non_focal
56,high,351,g05_spearman,SEVERITY,USE2_AVOID,0.138243245161583,gamma_05_spearman,0.5,FALSE,spearman,FALSE,ctx_w56_high,net_g05_spearman_w56_high,SEVERITY,USE2_AVOID,net_g05_spearman_w56_high__SEVERITY__USE2_AVOID,0.138243245161583,belief,behavior,focal_belief,non_focal
