spec,spec_id,gamma_ebic,wave,trust_stratum,n_cc,context_id,network_id,edge_id,from,to,edge_a,edge_b,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_WORRY__USE2_AVOID,AFF_WORRY,USE2_AVOID,AFF_WORRY,USE2_AVOID,0.06248611212904433,0.06108982381939752,0.043938568343834916,0,0.14871460123497615,0.865,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__USE2_AVOID__WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.031643810010474976,0.03622521080570778,0.03884362696027559,0,0.1239944066592914,0.678,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__SEVERITY__USE2_MASK,SEVERITY,USE2_MASK,SEVERITY,USE2_MASK,0.017327009891750893,0.019740927006547677,0.030635135540138723,0,0.09630302308248387,0.519,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_WORRY__USE2_MASK,AFF_WORRY,USE2_MASK,AFF_WORRY,USE2_MASK,0.015562823994126534,0.0227561209482099,0.027814643854107444,0,0.0910241637263111,0.608,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__SEVERITY__USE2_AVOID,SEVERITY,USE2_AVOID,SEVERITY,USE2_AVOID,0.014995473922375263,0.019809830088187173,0.03103393358517873,0,0.10171375832242642,0.503,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__SEVERITY__USE2_SPACE150,SEVERITY,USE2_SPACE150,SEVERITY,USE2_SPACE150,0.013681327594707233,0.01671283132979069,0.026431767489791452,0,0.08588975916011869,0.473,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__SEVERITY__USE2_HANDWASH20,SEVERITY,USE2_HANDWASH20,SEVERITY,USE2_HANDWASH20,0.00463087068002591,0.020423015413640503,0.03117619338102254,0,0.10120506933497096,0.487,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_FEAR__USE2_HANDWASH20,AFF_FEAR,USE2_HANDWASH20,AFF_FEAR,USE2_HANDWASH20,0,-0.014949470166460794,0.029427908600154266,-0.09500553019280576,0,0.28,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_FEAR__USE2_MASK,AFF_FEAR,USE2_MASK,AFF_FEAR,USE2_MASK,0,0.003501932035545159,0.013232392714317398,0,0.04452037766288708,0.199,1000
g05,gamma_05,0.5,55,low,376,ctx_w55_low,net_g05_w55_low,net_g05_w55_low__AFF_FEAR__USE2_SPACE150,AFF_FEAR,USE2_SPACE150,AFF_FEAR,USE2_SPACE150,0,0.0029466722239161994,0.01631799190974906,-0.021073917722004593,0.0439964911679194,0.204,1000
