spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05_spearman,55,USE2_MASK,USE2_AVOID,-0.15377854248720318,0.15377854248720318,376,309,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,USE2_MASK,USE2_SPACE150,-0.138528153088221,0.138528153088221,376,309,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,SEVERITY,WORRY_HEALTH_SYSTEM,-0.1340906088449627,0.1340906088449627,376,309,belief,affect,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,WORRY_HEALTH_SYSTEM,USE2_MASK,-0.12830487457149312,0.12830487457149312,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,SEVERITY,USE2_SPACE150,0.1039294123916414,0.1039294123916414,376,309,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,SEVERITY,USE2_AVOID,0.0935102943676929,0.0935102943676929,376,309,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_FEAR,USE2_AVOID,-0.07703315338582771,0.07703315338582771,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_WORRY,USE2_SPACE150,-0.0713666628548888,0.0713666628548888,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0.0669984904545466,0.0669984904545466,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_FEAR,USE2_HANDWASH20,0.058797970276521803,0.058797970276521803,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,SEVERITY,AFF_FEAR,-0.057629338060635,0.057629338060635,376,309,belief,affect,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,USE2_SPACE150,USE2_HANDWASH20,-0.0402906655536,0.0402906655536,376,309,behavior,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_WORRY,USE2_HANDWASH20,0.040280339294695,0.040280339294695,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_WORRY,WORRY_HEALTH_SYSTEM,0.03912245170274829,0.03912245170274829,376,309,affect,affect,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_FEAR,USE2_MASK,0.0292260816499025,0.0292260816499025,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,WORRY_HEALTH_SYSTEM,USE2_AVOID,0.025770048417273053,0.025770048417273053,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
g05_spearman,55,AFF_WORRY,USE2_MASK,-0.0213139808005594,0.0213139808005594,376,309,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w55_high_minus_low
