wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role,sample_weight,boot_mean,boot_sd,ci_low,ci_high,prop_nonzero,n_boot
56,high,351,g05,USE2_AVOID,USE2_SPACE150,0.261466332588217,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_AVOID,USE2_SPACE150,net_g05_w56_high__USE2_AVOID__USE2_SPACE150,0.261466332588217,behavior,behavior,non_focal,non_focal,0.261466332588217,0.25367950669798733,0.04970592284004788,0.15613640536288345,0.3447658518017628,1,1000
56,high,351,g05,USE2_MASK,USE2_SPACE150,0.253373428608667,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_MASK,USE2_SPACE150,net_g05_w56_high__USE2_MASK__USE2_SPACE150,0.253373428608667,behavior,behavior,non_focal,non_focal,0.2533734286086674,0.2522118339604164,0.06480361310116074,0.12435110709296433,0.37514211288260124,1,1000
56,high,351,g05,AFF_FEAR,SEVERITY,0.184472929324428,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,AFF_FEAR,SEVERITY,net_g05_w56_high__AFF_FEAR__SEVERITY,0.184472929324428,affect,belief,non_focal,focal_belief,0.18447292932442755,0.17587403328381732,0.04943350413640983,0.08392692494294644,0.27027213721407534,0.999,1000
56,high,351,g05,USE2_HANDWASH20,USE2_MASK,0.179544945105495,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_HANDWASH20,USE2_MASK,net_g05_w56_high__USE2_HANDWASH20__USE2_MASK,0.179544945105495,behavior,behavior,non_focal,non_focal,0.17954494510549457,0.17939099157765429,0.04871012215666767,0.08192055249942433,0.27323636685426306,0.999,1000
56,high,351,g05,USE2_HANDWASH20,USE2_SPACE150,0.167464336600436,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_HANDWASH20,USE2_SPACE150,net_g05_w56_high__USE2_HANDWASH20__USE2_SPACE150,0.167464336600436,behavior,behavior,non_focal,non_focal,0.16746433660043636,0.16391038864823748,0.04873696010970018,0.07240972691380873,0.25672810202679,1,1000
56,high,351,g05,USE2_AVOID,USE2_HANDWASH20,0.161416094106531,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_AVOID,USE2_HANDWASH20,net_g05_w56_high__USE2_AVOID__USE2_HANDWASH20,0.161416094106531,behavior,behavior,non_focal,non_focal,0.1614160941065311,0.15724007661801725,0.0442649218582542,0.07261622864477692,0.24555790331296276,0.999,1000
56,high,351,g05,AFF_FEAR,WORRY_HEALTH_SYSTEM,0.129215113141818,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,AFF_FEAR,WORRY_HEALTH_SYSTEM,net_g05_w56_high__AFF_FEAR__WORRY_HEALTH_SYSTEM,0.129215113141818,affect,affect,non_focal,non_focal,0.12921511314181774,0.12190458764468051,0.05065302820722091,0.021636957773210865,0.22143697001950063,0.99,1000
56,high,351,g05,SEVERITY,USE2_AVOID,0.127075033951044,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_AVOID,net_g05_w56_high__SEVERITY__USE2_AVOID,0.127075033951044,belief,behavior,focal_belief,non_focal,0.1270750339510436,0.12668533379255548,0.04637824311418753,0.03062894336800838,0.21583256447260077,0.994,1000
56,high,351,g05,SEVERITY,USE2_HANDWASH20,0.10326597434691,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_HANDWASH20,net_g05_w56_high__SEVERITY__USE2_HANDWASH20,0.10326597434691,belief,behavior,focal_belief,non_focal,0.10326597434691034,0.10885940538391883,0.04954743857065162,0.006000594686543063,0.20552725822350706,0.976,1000
56,high,351,g05,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.0938326692675476,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_w56_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.0938326692675476,behavior,affect,non_focal,non_focal,0.09383266926754759,0.08899418182126285,0.046544221522508,0,0.18497110925944116,0.96,1000
