spec,wave,from,to,diff_weight_high_minus_low,abs_diff,n_low,n_high,from_domain,to_domain,from_role,to_role,spec_id,gamma_ebic,thresholded,cor_method,in_kg,comparison_id
g05_spearman,57,WORRY_HEALTH_SYSTEM,USE2_HANDWASH20,0.0722884762254606,0.0722884762254606,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,AFF_FEAR,USE2_AVOID,0.06333005454067642,0.06333005454067642,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,WORRY_HEALTH_SYSTEM,USE2_AVOID,-0.056371874094785696,0.056371874094785696,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,SEVERITY,USE2_SPACE150,-0.0149772185820331,0.0149772185820331,336,407,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,AFF_WORRY,USE2_AVOID,-0.0144675572700702,0.0144675572700702,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,AFF_WORRY,USE2_SPACE150,6.922228256412977e-4,6.922228256412977e-4,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,SEVERITY,USE2_MASK,0,0,336,407,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,AFF_FEAR,USE2_MASK,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,AFF_FEAR,USE2_SPACE150,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,WORRY_HEALTH_SYSTEM,USE2_SPACE150,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,SEVERITY,USE2_HANDWASH20,0,0,336,407,belief,behavior,focal_belief,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
g05_spearman,57,AFF_FEAR,USE2_HANDWASH20,0,0,336,407,affect,behavior,non_focal,non_focal,gamma_05_spearman,0.5,FALSE,spearman,FALSE,diff_g05_spearman_w57_high_minus_low
